Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C1;C2;C1;C2;C2;C1;C3;C3;C2;C2;C2;C3;C2;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;;;;;;;
27;3;IE N° 5087;1ro;2;2;58;51;40;40;24;30;38;37;21;31;34;42;0;0;0;0;0;0;0;0;0;0;;2;2;1;2;63%;68%;54%;54%;13;;;;;;
28;3;IE N° 5120;1ro;2;2;60;60;21;41;12;20;16;19;9;9;11;30;0;0;0;0;0;0;0;0;0;0;;1;1;0;2;30%;25%;17%;17%;7;;;;;;
29;3;FE Y ALEGRIA N°43;1ro;4;4;108;106;93;86;78;91;63;46;54;34;75;98;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;82%;45%;61%;61%;14;;;;;;
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;1ro;3;3;77;66;58;55;60;64;47;48;52;51;42;58;0;0;0;0;0;0;0;0;0;0;;3;2;2;2;92%;73%;71%;71%;16;;;;;;
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;1ro;2;2;48;42;27;22;18;24;8;13;15;13;30;30;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;54%;27%;54%;54%;10;;;;;;
32;3;IEN°5094 NACIONES UNIDAS;1ro;4;4;93;87;63;41;44;51;34;43;34;27;42;68;7;5;15;10;12;0;0;0;0;0;;2;2;1;1;59%;44%;46%;33%;12;;;;;;
33;3;IEN° 5123 FRANCISCO BOLOGNESI;1ro;2;2;71;70;62;51;40;55;32;26;32;8;44;54;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;75%;32%;55%;55%;12;;;;;;
34;3;IE N° 3089  “LOS ANGELES”;1ro;4;4;103;98;80;51;57;74;33;28;63;24;73;83;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;73%;29%;70%;70%;12;;;;;;
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;1ro;4;4;112;112;108;98;93;76;78;94;74;89;69;94;0;0;0;0;0;0;0;0;0;0;;3;3;2;2;81%;77%;63%;63%;15;;;;;;
36;3;IE 5121 “PEDRO PLANA SILVA”;1ro;3;3;74;68;50;40;31;54;25;22;24;17;41;26;0;0;0;0;0;0;0;0;0;0;;1;0;0;1;44%;22%;33%;33%;7;;;;;;
37;4;IE N° 5098 KUMAMOTO;1ro;2;2;75;69;52;28;25;53;20;15;45;24;45;55;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;64%;28%;65%;65%;11;;;;;;
38;4;IE N° 5119 VILLA EMILIA;1ro;3;3;94;89;61;35;31;58;27;28;24;23;42;68;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;56%;29%;37%;37%;9;;;;;;
39;4;IE N° 5130-2 VILLA DEL MAR;1ro;1;1;20;19;16;15;13;14;9;8;8;6;5;15;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;75%;40%;34%;34%;11;;;;;;
40;4;IE N° 5130-4 CHAVINILLO;1ro;3;3;59;60;51;35;43;54;31;18;30;37;43;48;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;82%;47%;59%;59%;13;;;;;;
41;4;IE N° 5135 LA SALLE;1ro;2;2;58;50;40;27;39;40;36;14;27;9;35;40;0;0;0;0;0;0;0;0;0;0;;2;1;2;2;79%;40%;62%;62%;13;;;;;;
